date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:28:18	31/31	---M--	200	added ('OK')	text/plain	date:Tue,%2005%20Jan%202021%2005:00:02%20GMT	http://milktoken.finance/robots.txt		(from )
08:28:19	14036/14036	---MC-	200	added ('OK')	text/html	date:Sat,%2009%20Jan%202021%2016:16:55%20GMT	http://milktoken.finance/	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/index.html	(from )
08:28:23	140421/140421	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/bootstrap.min.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/bootstrap.min.css	(from http://milktoken.finance/)
08:28:23	16462/16462	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/style.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/style.css	(from http://milktoken.finance/)
08:28:23	2722/2722	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/responsive.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/responsive.css	(from http://milktoken.finance/)
08:28:24	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:28:18%20GMT	http://milktoken.finance/images/fevicon.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/images/fevicon.png	(from http://milktoken.finance/)
08:28:25	42839/42839	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/jquery.mCustomScrollbar.min.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/jquery.mCustomScrollbar.min.css	(from http://milktoken.finance/)
08:28:25	21658/21658	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:53%20GMT	https://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from http://milktoken.finance/)
08:28:26	3885/3885	---M-Z	200	added ('OK')	text/css	etag:%225eb03e58-f2d%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css	(from http://milktoken.finance/)
08:28:28	14036/14036	---MC-	200	added ('OK')	text/html	date:Sat,%2009%20Jan%202021%2016:16:55%20GMT	http://milktoken.finance/index.html	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/index-2.html	(from http://milktoken.finance/)
08:28:28	994/994	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/images/menu_icon.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/images/menu_icon.png	(from http://milktoken.finance/)
08:28:32	35499/35499	---M--	200	added ('OK')	image/gif	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/images/loading.gif	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/images/loading.gif	(from http://milktoken.finance/)
08:28:34	53591/53591	---M--	200	added ('OK')	image/x-icon	date:Sat,%2022%20Aug%202020%2011:41:58%20GMT	http://milktoken.finance/images/icon.ico	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/images/icon.ico	(from http://milktoken.finance/)
08:28:36	53591/53591	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Aug%202020%2011:41:58%20GMT	http://milktoken.finance/images/logo.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/images/logo.png	(from http://milktoken.finance/)
08:28:41	54442/54442	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/images/about_img.jpg	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/images/about_img.jpg	(from http://milktoken.finance/)
08:28:43	57080/57080	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/images/work_img.jpg	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/images/work_img.jpg	(from http://milktoken.finance/)
